placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2026-02-22 00:00:00,2026-02-22 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 01:00:00,2026-02-22 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 02:00:00,2026-02-22 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 03:00:00,2026-02-22 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 04:00:00,2026-02-22 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 05:00:00,2026-02-22 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 06:00:00,2026-02-22 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 07:00:00,2026-02-22 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 08:00:00,2026-02-22 09:00:00,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 09:00:00,2026-02-22 10:00:00,15,0,3,1,1,4,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 10:00:00,2026-02-22 11:00:00,49,0,3,5,8,8,4,6,0,0,0,1,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 11:00:00,2026-02-22 12:00:00,89,0,14,14,10,11,7,3,1,0,0,8,3,10,3,3,2,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 12:00:00,2026-02-22 13:00:00,90,0,25,13,11,5,1,1,1,0,0,7,6,7,5,5,1,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 13:00:00,2026-02-22 14:00:00,73,0,16,9,6,6,1,0,0,1,0,2,16,9,3,2,1,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 14:00:00,2026-02-22 15:00:00,104,0,20,11,12,5,5,14,0,0,0,6,4,8,10,6,1,2,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 15:00:00,2026-02-22 16:00:00,62,0,15,10,8,6,3,0,0,0,0,2,6,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 16:00:00,2026-02-22 17:00:00,55,0,6,5,11,7,4,4,1,0,0,3,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 17:00:00,2026-02-22 18:00:00,91,0,20,20,12,12,4,1,1,0,0,4,5,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 18:00:00,2026-02-22 19:00:00,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 19:00:00,2026-02-22 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 20:00:00,2026-02-22 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 21:00:00,2026-02-22 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 22:00:00,2026-02-22 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-22 23:00:00,2026-02-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
