note_id,title,note_url,author,author_url,theme,fan_score,travel_score
689e0083000000001c007c1a,福井一点也不小，全是你成长的痕迹,https://www.rednote.com/search_result/689e0083000000001c007c1a?xsec_token=AB4h8VjAKBuQKaPFVGJM8w8RRzBNWkE0bOqTDGp_thAkI=&xsec_source=,Juunae 2025-08-14,https://www.rednote.com/user/profile/5b8137aa26cd5c00015c4c9a?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB7b2xc0KVOlpnLB9nyGsAACA8fNL-V0ivNAO0o_8KoTc=&xsec_source=pc_search,ordinary,0,0
693b68ae000000001e00b726,带着成员们和曾经的同学擦肩是什么感觉🥺,https://www.rednote.com/search_result/693b68ae000000001e00b726?xsec_token=ABbricp_wwCzSZ1r4zL5htFUrOiGftkHmmYQ2nDHIjua0=&xsec_source=,吃顿饭再走 2025-12-12,https://www.rednote.com/user/profile/5db147b30000000001003fb5?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABohzGZp4vJbUEw9Q9WK2uUOltWU2-Y2EJuh_xDkrie_o=&xsec_source=pc_search,ordinary,0,0
67dbd8be000000000e0069f1,关于前田陆的福井之旅攻略-2,https://www.rednote.com/search_result/67dbd8be000000000e0069f1?xsec_token=ABvQmvPZxj2th6y7HuUa9HyoGksh9JPatsL1XbwvFlqDk=&xsec_source=,CC741 2025-03-20,https://www.rednote.com/user/profile/60cc96720000000001009e87?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB1gxM7OZhzi57SucYaRbFi9Y6oG5DUpuUrX3FSTqwd7U=&xsec_source=pc_search,travel,0,1
68ba8a9b000000001d0060f5,走Riku走过的道路…,https://www.rednote.com/search_result/68ba8a9b000000001d0060f5?xsec_token=ABwwS_ah4VT5tSWmMcb7IX1i8ga0f6Q1ueYaxh8sGWmRk=&xsec_source=,junnnnnn.__ 2025-09-05,https://www.rednote.com/user/profile/6687bfec0000000003032e91?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABGcgsqyKfa3RNvUOXqbMbRIglH66XGVAo9QTHqUEx7AQ=&xsec_source=pc_search,fan,1,0
6a1451ad000000000702710b,露露妈请进！,https://www.rednote.com/search_result/6a1451ad000000000702710b?xsec_token=ABQyGD6SzgKHgSIxycaO9eR4ZzTQutZOSfALcxYNeiSdI=&xsec_source=,momo 05-25,https://www.rednote.com/user/profile/5a80368311be1053eccedc11?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABtusw3MXBg2hToRAeU6lD7Fx8DJzwcSwb1vz_Q-yffRo=&xsec_source=pc_search,ordinary,0,0
69525f950000000021030486,谁再说我男神老家村…,https://www.rednote.com/search_result/69525f950000000021030486?xsec_token=ABT4hNWP6N3Lc-RgrLiES2ZAXlJDrUzpo8lRp-wk-FUW8=&xsec_source=,7白 2025-12-29,https://www.rednote.com/user/profile/5ba109db75668b00011718a8?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABIzwKADoyhr-lwBnVLzxfv3-D25bhZL2C5EfH3qhvOiQ=&xsec_source=pc_search,ordinary,0,0
69eae6c80000000020013006,冬天的时候去了fukui,https://www.rednote.com/search_result/69eae6c80000000020013006?xsec_token=ABjTPOp88faQA55jfXncNW4xLLSm4PbcalYVNJu2_7Ezg=&xsec_source=,感觉我们两个话不投机半句多了 04-24,https://www.rednote.com/user/profile/691981dc0000000032026840?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABWbidxZt6vrLYZ6EsTpScPB1xe9w-bPXfiZvzgnogY5s=&xsec_source=pc_search,ordinary,0,0
6804fc84000000001d01bf9c,福井最强穷鬼游攻略,https://www.rednote.com/search_result/6804fc84000000001d01bf9c?xsec_token=ABHwUvPzZU77aPdY2Qbl8bC_pcpeSDhD7ig4dcEL-7Noc=&xsec_source=,_ZZZyj 2025-04-20,https://www.rednote.com/user/profile/589038e450c4b45df5f6544f?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABbP0xKL2DoAYcjHytzUYUDXEwbUzF-80vjzur5uDmXrE=&xsec_source=pc_search,travel,0,1
69f88d47000000003502a491,福井真的是一个不自驾就很难玩的地方,https://www.rednote.com/search_result/69f88d47000000003502a491?xsec_token=ABGPKW64cbL_KA1aX0BKreI-7vtk1H4aRYXcvesUlxJB0=&xsec_source=,不如回家放杨女士 05-04,https://www.rednote.com/user/profile/5c7334f5000000001202e805?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABRGgQNqPLMpm3QrFbDaGg-9SWJSW1-khEmkI8FxYBeDs=&xsec_source=pc_search,ordinary,0,0
690dd9fc0000000005031d1a,我又来了，来还愿了。,https://www.rednote.com/search_result/690dd9fc0000000005031d1a?xsec_token=ABR1amihUzsS1yoHE5fB2zYhSu5DYD3FgJ5lOjnVrskUw=&xsec_source=,囧囧汉堡丸 2025-11-11,https://www.rednote.com/user/profile/5af656eee8ac2b4a38f58b49?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABGlnInHVaiCuWe3n_7cbaljEFKPqvKCLS77gVgUwY1D8=&xsec_source=pc_search,ordinary,0,0
